Title,Year,Summary,Short Summary,IMDB ID,Runtime,YouTube Trailer,Rating,Movie Poster,Director,Writers,Cast,Genres
Patton Oswalt: Annihilation,2017,"Patton Oswald, despite a personal tragedy, produces his best standup yet. Focusing on the tribulations of the Trump era and life after the loss of a loved one, Patton Oswald continues his journey to contribute joy to the world.","Patton Oswalt, despite a personal tragedy, produces his best standup yet. Focusing on the tribulations of the Trump era and life after the loss of a loved one, Oswalt continues his journey to contribute joy to the world.",tt7026230,66,4hZi5QaMBFc,7.4,https://m.media-amazon.com/images/M/MV5BZGE4NDVjZGQtNzc0Yi00YTE2LWFiN2EtYTNiY2ZiNjliYWQ1XkEyXkFqcGdeQXVyMTk3NDAwMzI@._V1_.jpg,Bobcat Goldthwait,Patton Oswalt,Patton Oswalt,Comedy|Documentary|Drama
New York Doll,2005,"A recovering alcoholic and recently converted Mormon, Arthur ""Killer"" Kane, of the rock band The New York Dolls, is given a chance at reuniting with his band after 30 years.","A recovering alcoholic and recently converted Mormon, Arthur &quot;Killer&quot; Kane, of the rock band The New York Dolls, is given a chance at reuniting with his band after 30 years.",tt0436629,75,jwD04NsnLLg,7.9,https://m.media-amazon.com/images/M/MV5BMTk4NjUxMjE4N15BMl5BanBnXkFtZTcwOTk2NTYzMQ@@._V1_.jpg,Greg Whiteley,Arthur Kane,Sylvain Sylvain, Documentary|Music
Mickey's Magical Christmas: Snowed in at the House of Mouse,2001,"After everyone is snowed in at the House of Mouse, Mickey suggests they throw their own Christmas party. Everyone is happy, except for Donald who just isn't in to the Christmas spirit. So Mickey shows a series of cartoons that show just what Christmas is all about. It features a star studded cast of Disney characters from everyone's favorite animated Disney movies.","Mickey and all his friends hold their own Christmas party at the House of Mouse, after being snowed in.",tt0300195,65,uCKwHHftrU4,6.8,https://m.media-amazon.com/images/M/MV5BMTkyODU0MTA1MF5BMl5BanBnXkFtZTcwNzEzODcxMQ@@._V1_.jpg,Tony Craig,Thomas Hart,Carlos Alazraqui|Wayne Allwine,Animation|Comedy|Family
Mickey's House of Villains,2001,"The villains from the popular animated Disney films are gathered at the House of Mouse with plans to take over. Soon, the villains take over the house and kick out Mickey, Donald and Goofy. It's all up to Mickey and his friends to overthrow evil and return the House of Mouse to normal--or as close to normal as it get's.","The villains from the popular animated Disney films are gathered at the House of Mouse with plans to take over. Soon, the villains take over the house and kick out Mickey, Donald and Goofy....",tt0329374,0,JA03ciYt-Ek,6.6,https://m.media-amazon.com/images/M/MV5BZDQ2MDUyNWItMWFjNy00MzlhLWExZTktOTc4NmZiNmU0NjBlXkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_.jpg,Jamie Mitchell,Thomas Hart,Tony Anselmo|Wayne Allwine,Animation|Comedy|Family
And Then I Go,2017,"In the cruel world of junior high, Edwin suffers in a state of anxiety and alienation alongside his only friend, Flake. Misunderstood by their families and demoralized at school daily, their fury simmers quietly until an idea for vengeance offers them a terrifying release. Based on the acclaimed novel ""Project X"" by Jim Shepard, this unflinching look at adolescence explores how the powerful bonds of childhood friendship and search for belonging can become a matter of life or death.","In the cruel world of junior high, Edwin suffers in a state of anxiety and alienation alongside his only friend, Flake. Misunderstood by their families and demoralized at school daily, ...",tt2018111,99,8CdIiD6-iF0,7.6,https://m.media-amazon.com/images/M/MV5BMjI2ODE3NzMxMV5BMl5BanBnXkFtZTgwMTIyMDYxNTM@._V1_.jpg,Vincent Grashaw,Brett Haley,Arman Darbo|Sawyer Barth,Drama
An Extremely Goofy Movie,2000,"It's a big time in Max's life. He's college bound with his friends and finally free of his embarrassing father as he strives to be a top contender for the X-Games. Unfortunately, Goofy loses his job and learns that he cannot get another job without a college degree. To his son's mortification, Goofy decides to join him in his campus to get that degree. Desperate to distract his father, Max talks him into joining the competing Gamma Fraternity team and introduces him to a wonderful librarian who shares his nostalgic love for 1970's pastimes. Unfortunately, things do not go according to plan as events put this father-son relationship to the test.","Max goes to college, but to his embarassment his father loses his job and goes to his son's campus.",tt0208185,79,H8oSvldAGfg,6.4,https://m.media-amazon.com/images/M/MV5BNTJkNmQ1ODItNTJhOS00NWRhLTg0NjAtYjZlNWYxZWJmNTY4XkEyXkFqcGdeQXVyOTg4MDk3MTQ@._V1_.jpg,Douglas McCarthy,Scott Spencer Gorden,Bill Farmer|Jason Marsden|Jeff Bennett,Animation|Comedy|Family
Love Songs,2007,"Julie's boyfriend Ismaël lives with her; rather than worry about the time he spends with his colleague Alice, Julie invites Alice to join them. The three walk the streets of Paris, party, read, and sleep together. Sometimes it's lighthearted, sometimes there are jealousies. Then death strikes. In various ways, those left come to terms with the departure and absence of a loved one: showing concern, eating together, attempting new relationships, trying to ""be there"" for the other. Then, the spirit returns and new commitments are possible. The romantic elements of musical comedy play in contrast to the ambivalence of the lyrics and the story.",A musical interpretation of three lovers living in Paris.,tt0996605,91,s54vpKAFmS0,7.2,https://m.media-amazon.com/images/M/MV5BNDgwYmZmZGEtNTBkYi00YTI2LTkxNWYtZWZjNzQzZDcxNjE1XkEyXkFqcGdeQXVyMjUxOTQ5MzA@._V1_.jpg,Christophe Honoré,Christophe Honoré,Clotilde Hesme|Louis Garrel|Ludivine Sagnier,Drama|Musical|Romance
89,2017,"89 tells the incredible story of one of football's greatest triumphs: when against all odds Arsenal snatched the Championship title from Liverpool at Anfield in the last minute of the last game of the 1988/89 season. It's a universal tale of a band of brothers who, led by a charismatic and deeply respected manager, came together to defy the odds and create history. Mixing archive and previously unseen footage with revealing interviews, insights and memories from the original squad, game officials, famous fans and the people who were there on the night this is the definitive account of a watershed moment in football and a must-watch for any sports fan.","The true story of a sporting miracle, when Arsenal went to Anfield on the last day of the 1988/89 season needing to beat the best team in England by two clear goals to snatch the title.",tt7614404,91,5hfAExhHTMM,8.1,https://m.media-amazon.com/images/M/MV5BZDFkZWRlZTEtY2M1NC00YzVjLThhNDEtYzdjNjliODVhYmVhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg,Dave Stewart,Lee Dixon,Ian Wright,Documentary|Sport
The Foster Boy,2011,"The illegitimate orphan child, 12-year-old Max, is sold by the local minister for a basket of food to the Bösiger family, who own a mountain farm. Max' initial hope of finally finding a loving home is brutally shattered: The farmer and his wife treat Max like livestock, and their son Jacob humiliates and abuses him. Only the local teacher notices the child suffering on the farm.","A Swiss-German rural peasant family takes Max, a crude 15-year-old boy, into a foster situation of constant bullying. Soon, a foster girl is added to the mix.",tt2057931,107,E9Qv_XVJ-js,7.4,https://m.media-amazon.com/images/M/MV5BNjQ2MTExNDI0Ml5BMl5BanBnXkFtZTcwMTkzNDk3Nw@@._V1_.jpg,Markus Imboden,Plinio Bachmann,Katja Riemann|Maximilian Simonischek|Stefan Kurt,Drama
Forever My Girl,2018,After being gone for a decade a country star returns home to the love he left behind.,After being gone for a decade a country star returns home to the love he left behind.,tt4103724,108,3vqcMr1q5Uc,6.4,https://m.media-amazon.com/images/M/MV5BMjAwNTA5NTYyNl5BMl5BanBnXkFtZTgwMDIzMzA2MzI@._V1_.jpg,Bethany Ashton Wolf,Bethany Ashton Wolf,Abby Ryder Fortson|Alex Roe|Jessica Rothe,Drama|Music
Tom Segura: Disgraceful,2018,Comedian Tom Segura rants about funny things about pop culture and the way of living in 2018.,Comedian Tom Segura rants about funny things about pop culture and the way of living in 2018.,tt7379330,0,kYYINJM3lPA,7.5,https://m.media-amazon.com/images/M/MV5BMGUyNTBiZjktMjk5Ni00Yzk3LTlkZTUtY2FiOTJiOGRhZWY3XkEyXkFqcGdeQXVyMTk2ODU0OTM@._V1_.jpg,Jay Karas,Tom Segura,Tom Segura,Comedy
The Secret Rules of Modern Living: Algorithms,2015,"Professor Marcus du Sautoy demystifies the hidden world of algorithms and reveals where these 2,000-year-old problem solvers came from, how they work, and what they have achieved.","Professor Marcus du Sautoy demystifies the hidden world of algorithms and reveals where these 2,000-year-old problem solvers came from, how they work, and what they have achieved.",tt5818010,58,hpyxmT6KSvw,7.5,https://m.media-amazon.com/images/M/MV5BMjMwNzM3ZTctYTFlZi00MmNmLTkxMTYtMTRmOTM0ZGM3Y2Y0XkEyXkFqcGdeQXVyNjg1ODkwMDg@._V1_.jpg,David Briggs,Marcus du Sautoy,Marcus du Sautoy,Documentary
Secrets in the Fall,2015,"Nothing is impossible for a group of young campers, friends and enemies alike, on a weekend retreat at Camp Pinnacle. But what starts as an exciting wilderness adventure turns into trouble when a young camper goes missing and the rest of the group must set out to find him. The campers are forced to overcome their differences and band together to re-claim their weekend and make it out of the woods before dark!","Nothing is impossible for a group of young campers, friends and enemies alike, on a weekend retreat at Camp Pinnacle. But what starts as an exciting wilderness adventure turns into trouble ...",tt2522908,0,eMVw1pHVMAw,7.3,https://m.media-amazon.com/images/M/MV5BMTUyMjA1NDk5OF5BMl5BanBnXkFtZTgwMjY1MTg4NjE@._V1_.jpg,Brittany Goodwin,Brittany Goodwin,Hollie Shay|Kyle Kupecky|Vincent Seidle,Family
Silent Night,2017,Adam unexpectedly visits his family house at Christmas after a few years of working abroad. No family member knows about his secret plans and the real reasons of his visit.,Adam unexpectedly visits his family house at Christmas after a few years of working abroad. No family member knows about his secret plans and the real reasons of his visit.,tt7133554,100,cA6BUYVkQoE,7.5,https://m.media-amazon.com/images/M/MV5BYjM4YzMzNDEtYWFkYS00NGFmLTk0NzUtMjU0NDkwZjg2ZjI1XkEyXkFqcGdeQXVyMjMwOTA0Ng@@._V1_.jpg,Piotr Domalewski,Piotr Domalewski,Agnieszka Suchora|Dawid Ogrodnik|Tomasz Zietek,Drama
